Course Code,Start Date,End Date,Hrs,Last Day in Class,Expected. Grad date
PCT16 Patient Care Technician Theory and Lab Skills and Positive Behavior Support Training In Service: Medical Record,1/7/2015,2/11/2015,100,,
PCT11 Phlebotomy – Skills and Lab,2/12/2015,3/5/2015,60,,
"PCT12 Phlebotomy – Specimen Transfer, Accessioning and Processing",3/6/2015,3/12/2015,20,,
PCT13 Phlebotomy – Quality Assurance and Safety Procedures,3/13/2015,3/19/2015,20,,
,,,,,
PCT14 EKG – Basic Cardiac Electrophysiology and Related Diseases,3/20/2015,4/6/2015,40,,
PCT15 EKG – Instrumentation Modalities and Patient Preparation,4/7/2015,4/27/2015,60,,
ECP01 Employability/Career Planning Skills,4/28/2015,5/4/2015,20,,
PCT01  Introduction to Patient Care Technician                             ,5/5/2015,6/4/2015,84,,
BLSF01 Basic Life Support and First Aid,6/5/2015,6/5/2015,4,,
PCT02 Basic  Anatomy and Physiology and related Medical Terminology,6/8/2015,6/25/2015,50,,
HAE01 HIV/AIDS Education,6/26/2015,6/26/2015,4,,
PCT03 Patient Care Procedures for NA/HHAs (Dementia Management and Patient Abuse Prevention training) In Service: Understanding Alzheimer’s disease,6/29/2015,7/1/2015,10,,
PCT04 - Physical Comfort and Patient Safety In Service: Medical Error,7/1/2015,7/7/2015,18,,
PCT06 NA/HHA – Nutrition,7/8/2015,7/10/2015,12,,
PCT05 Post-Operative Care – In Services: Assistance with Self-Administered Medication Training,7/13/2015,7/16/2015,16,,
"PCT07 Safety, Sanitation and Emergency Procedures – In Services: OSHA, Infection Control and Biohazards Waste Disposal/Blood borne Pathogens and Universal Precautions",7/17/2015,7/21/2015,12,,
PCT08 Rehabilitative and Geriatric Care. Home Health Aide setting. In Service: Resident Rights,7/22/2015,7/27/2015,14,,
PCT09 Home Health Care (New Born Care),7/27/2015,8/3/2015,16,,
PCT16 Patient Care Technician Theory and Lab Skills and Positive Behavior Support Training In Service: Medical Record,8/4/2015,9/9/2015,100,,
PCT11 Phlebotomy – Skills and Lab,9/10/2015,10/1/2015,60,,
"PCT12 Phlebotomy – Specimen Transfer, Accessioning and Processing",10/2/2015,10/8/2015,20,,
PCT13 Phlebotomy – Quality Assurance and Safety Procedures,10/9/2015,10/16/2015,20,,
PCT14 EKG – Basic Cardiac Electrophysiology and Related Diseases,10/19/2025,10/30/2015,40,,
PCT15EKG – Instrumentation Modalities and Patient Preparation,11/2/2015,11/23/2013,60,,
ECP01 Employability/Career Planning Skills,11/24/2015,12/2/2015,20,,
PCT01 Introduction to Patient Care Technician – In Service: Domestic Violence/HIPAA/Communication with Cognitively Impaired Clients,12/3/2015,1/15/2016,84,,
BLSF01 Basic Life Support and First Aid,1/19/2016,1/19/2016,4,,
PCT02 Basic  Anatomy and Physiology and related Medical Terminology,1/20/2016,2/5/2016,50,,
HAE01 HIV/AIDS Education,2/8/2016,2/8/2016,4,,
PCT03 Patient Care Procedures for NA/HHAs (Dementia Management and Patient Abuse Prevention training) In Service: Understanding Alzheimer’s disease,2/9/2016,2/11/2016,10,,
PCT04 Physical Comfort and Patient Safety In Service: Medical Error,2/11/2016,2/18/2016,18,,
PCT06 NA/HHA – Nutrition,2/19/2016,2/23/2016,12,,
PCT05 Post-Operative Care – In Services: Assistance with Self-Administered Medication Training,2/24/2016,2/29/2016,16,,
,,,,,
